location,area,details,price,date,agent,agency,link,rooms,bathroom,parking
"Aira Residence, Damansara Heights","Damansara Heights, Kuala Lumpur","Condominium  •  Built-up : 1,894 sq. ft.  •  Partly furnished","RM 2,800,000",Posted on 10 Jan 2023 11:05 PM,Eugene Yap,Focus Estate Agency Sdn. Bhd.,https://www.iproperty.com.my/property/damansara-heights/aira-residence/sale-104422204/,3+1,3,2
"Glomac Damansara, Taman Tun Dr Ismail","Taman Tun Dr Ismail, Kuala Lumpur",Serviced Residence  •  Built-up : 876 sq. ft.  •  Partly furnished,"RM 750,000",Posted on 10 Jan 2023 10:54 PM,Hor Yan,The Roof Realty - Kuchai Lama,https://www.iproperty.com.my/property/taman-tun-dr-ismail/glomac-damansara/sale-104422138/,2,2,1
"Suria Stonor, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Intermediate  •  Built-up : 3,300 sq. ft.  •  Partly furnished","RM 2,250,000",Posted on 10 Jan 2023 10:39 PM,Darren Goh,Dutama Properties,https://www.iproperty.com.my/property/klcc/suria-stonor/sale-101949462/,3+1,4,2
"Lucky Garden, Bangsar","Bangsar, Kuala Lumpur","Semi-detached House | Intermediate  •  Built-up : 3,000 sq. ft.  •  Partly furnished","RM 3,000,000",Posted on 10 Jan 2023 10:39 PM,Ravi,City Real Properties,https://www.iproperty.com.my/property/bangsar/ol-sale-104445773/,5,3,2
"TRX Residence @ TRX, KL City","KL City, Kuala Lumpur","Serviced Residence | Intermediate  •  Built-up : 1,259 sq. ft.  •  Partly furnished","RM 2,500,000",Posted on 10 Jan 2023 10:38 PM,Darren Goh,Dutama Properties,https://www.iproperty.com.my/property/kl-city/trx-residence-trx/sale-102605993/,3,2,2
"Pavilion Ceylon Hill, Bukit Ceylon, KL City","KL City, Kuala Lumpur","Serviced Residence | Intermediate  •  Built-up : 1,165 sq. ft.  •  Partly furnished","RM 1,450,000",Posted on 10 Jan 2023 10:37 PM,Darren Goh,Dutama Properties,https://www.iproperty.com.my/property/kl-city/pavilion-ceylon-hill/sale-103449410/,2+1,2,1
"Stonor 3, KLCC","KLCC, Kuala Lumpur","Condominium | Intermediate  •  Built-up : 1,031 sq. ft.  •  Partly furnished","RM 1,350,000",Posted on 10 Jan 2023 10:36 PM,Darren Goh,Dutama Properties,https://www.iproperty.com.my/property/klcc/stonor-3/sale-101949167/,3,2,2
"Mont Kiara Bayu, Mont Kiara","Mont Kiara, Kuala Lumpur",Condominium  •  Built-up : 798 sq. ft.,"RM 530,000",Posted on 10 Jan 2023 10:35 PM,Angelyn Fong,Chester Properties Sdn Bhd (HQ),https://www.iproperty.com.my/property/mont-kiara/mont-kiara-bayu/sale-103718033/,1,2,1
"Cascadium, Bangsar","Bangsar, Kuala Lumpur",Condominium  •  Built-up : 780 sq. ft.,"RM 750,000",Posted on 10 Jan 2023 10:34 PM,Janet Kitto,Mirae Properties,https://www.iproperty.com.my/property/bangsar/cascadium/sale-100395132/,1,1,2
"Sang Suria, Sentul","Sentul, Kuala Lumpur","Condominium | Duplex  •  Built-up : 3,248 sq. ft.  •  Partly furnished","RM 1,380,000",Posted on 10 Jan 2023 10:31 PM,Ravi,City Real Properties,https://www.iproperty.com.my/property/sentul/sang-suria/ol-sale-104445670/,4,4,3
"28 Dutamas, Dutamas","Dutamas, Kuala Lumpur","Condominium  •  Built-up : 1,467 sq. ft.  •  Unfurnished","RM 728,000",Posted on 10 Jan 2023 10:30 PM,Hor Yan,The Roof Realty - Kuchai Lama,https://www.iproperty.com.my/property/dutamas/28-dutamas/sale-104420808/,3+1,3,2
"South Brooks, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 1,093 sq. ft.  •  Partly furnished","RM 1,060,000",Posted on 10 Jan 2023 10:03 PM,Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/south-brooks/ol-sale-104220083/,2+1,2,2
Taman Desa,"Taman Desa, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 3,000 sq. ft.  •  Partly furnished","RM 3,000,000",Posted on 10 Jan 2023 10:00 PM,Citta Cheng,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/taman-desa/sale-103360644/,3+1,3,
"Savio @ Riana Dutamas, Dutamas","Dutamas, Kuala Lumpur",Serviced Residence  •  Built-up : 903 sq. ft.  •  Partly furnished,"RM 539,999",Posted on 10 Jan 2023 09:59 PM,Chaolim Chee,Dreamvest Realty Sdn. Bhd.,https://www.iproperty.com.my/property/dutamas/savio-riana-dutamas/ol-sale-104503135/,2,2,2
"Corinthian Condominium, KLCC","KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 4,123 sq. ft.  •  Partly furnished","RM 3,000,000",Posted on 10 Jan 2023 09:57 PM,Jaysen See,EUM Realty Sdn. Bhd. (Pandan Perdana),https://www.iproperty.com.my/property/klcc/corinthian-condominium/ol-sale-104445636/,5+1,5,1
"Le Yuan Residence, Happy Garden, Jalan Klang Lama (Old Klang Road)","Jalan Klang Lama (Old Klang Road), Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,782 sq. ft.  •  Partly furnished","RM 1,099,000",Posted on 10 Jan 2023 09:54 PM,Adeline Teh,HARTAMAS REAL ESTATE (MALAYSIA) SDN. BHD.,https://www.iproperty.com.my/property/jalan-klang-lama-old-klang-road/le-yuan-residence/sale-104117940/,3+1,5,3
"Laman Residen Taman Residensi Taman Tasik Indah , Jalan Ipoh","Jalan Ipoh, Kuala Lumpur","Semi-detached House | Intermediate  •  Built-up : 4,000 sq. ft.  •  Partly furnished","RM 1,390,000",Posted on 10 Jan 2023 09:54 PM,Hugo How,HARMONY GENERATIONS PROPERTIES,https://www.iproperty.com.my/property/jalan-ipoh/ol-sale-104466904/,4+1,4,3
"Amelia Garden Home, Flat Level, Desa ParkCity","Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,600 sq. ft.  •  Partly furnished","RM 2,950,000",Posted on 10 Jan 2023 09:48 PM,Sean Ang,BIG PLUS PROPERTIES SDN BHD,https://www.iproperty.com.my/property/desa-park-city/sale-104311496/,3+1,4,3
Seputeh,"Seputeh, Kuala Lumpur","Bungalow  •  Built-up : 7,317 sq. ft.  •  Partly furnished","RM 4,500,000",Posted on 10 Jan 2023 09:47 PM,Ryn Choong,IQI Realty Sdn. Bhd.,https://www.iproperty.com.my/property/seputeh/sale-104421829/,5,3,4
"Nadi Bangsar, Bangsar","Bangsar, Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 441 sq. ft.  •  Fully furnished,"RM 575,000",Posted on 10 Jan 2023 09:44 PM,Caren Wong,Esprit Estate Agent Sdn. Bhd.,https://www.iproperty.com.my/property/bangsar/nadi-bangsar/sale-100465680/,Studio,1,1
"Nadi Bangsar, Bangsar","Bangsar, Kuala Lumpur","Serviced Residence  •  Built-up : 1,098 sq. ft.","RM 1,280,000",Posted on 10 Jan 2023 09:44 PM,Caren Wong,Esprit Estate Agent Sdn. Bhd.,https://www.iproperty.com.my/property/bangsar/nadi-bangsar/sale-100609608/,2,2,1
"The Oval, KLCC","KLCC, Kuala Lumpur","Serviced Residence  •  Built-up : 3,900 sq. ft.  •  Fully furnished","RM 5,350,000",Posted on 10 Jan 2023 09:44 PM,M.J. Zairin,Azmi & Co. (Estate Agency) Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/the-oval/ol-sale-104273110/,3+1,4,2
"Levenue double storey, Desa ParkCity","Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 2,900 sq. ft.  •  Partly furnished","RM 2,880,000",Posted on 10 Jan 2023 09:43 PM,Sean Ang,BIG PLUS PROPERTIES SDN BHD,https://www.iproperty.com.my/property/desa-park-city/sale-104177719/,5+1,6,3
"Nadi Bangsar, Bangsar","Bangsar, Kuala Lumpur","Serviced Residence  •  Built-up : 1,076 sq. ft.  •  Unfurnished","RM 1,310,000",Posted on 10 Jan 2023 09:43 PM,Caren Wong,Esprit Estate Agent Sdn. Bhd.,https://www.iproperty.com.my/property/bangsar/nadi-bangsar/sale-100465674/,2,2,1
"Adora Courtyard Terrace, End lot with land, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House | End lot  •  Built-up : 1,902 sq. ft.  •  Partly furnished","RM 2,200,000",Posted on 10 Jan 2023 09:42 PM,Sean Ang,BIG PLUS PROPERTIES SDN BHD,https://www.iproperty.com.my/property/desa-park-city/sale-104349703/,3+1,3,2
"Adora Corner, Desa ParkCity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","3-sty Terrace/Link House | Corner lot  •  Built-up : 2,200 sq. ft.  •  Fully furnished","RM 2,880,000",Posted on 10 Jan 2023 09:42 PM,Sean Ang,BIG PLUS PROPERTIES SDN BHD,https://www.iproperty.com.my/property/desa-park-city/sale-104177732/,4+1,4,2
"Nadi Bangsar, Bangsar","Bangsar, Kuala Lumpur",Serviced Residence | Intermediate  •  Built-up : 689 sq. ft.  •  Fully furnished,"RM 950,000",Posted on 10 Jan 2023 09:42 PM,Caren Wong,Esprit Estate Agent Sdn. Bhd.,https://www.iproperty.com.my/property/bangsar/nadi-bangsar/sale-101903242/,1+1,1,1
"Taman Bukit Maluri (Endlot), Bandar Menjalara, Kepong","Kepong, Kuala Lumpur","2-sty Terrace/Link House | End lot  •  Built-up : 2,560 sq. ft.  •  Partly furnished","RM 1,070,000",Posted on 10 Jan 2023 09:24 PM,Chloe Cheong,Tech Realtors Properties Sdn. Bhd.,https://www.iproperty.com.my/property/kepong/sale-104255895/,5,3,
"Taman Bukit Maluri, Kepong","Kepong, Kuala Lumpur","2-sty Terrace/Link House | Intermediate  •  Built-up : 1,870 sq. ft.  •  Unfurnished","RM 950,000",Posted on 10 Jan 2023 09:23 PM,Chloe Cheong,Tech Realtors Properties Sdn. Bhd.,https://www.iproperty.com.my/property/kepong/sale-103895510/,4,3,
"Park Place, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","Condominium  •  Built-up : 2,217 sq. ft.","RM 2,000,000",Posted on 10 Jan 2023 09:04 PM,Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/park-place/sale-103842780/,3+2,4,3
Country Heights Damansara,"Country Heights Damansara, Kuala Lumpur","Bungalow  •  Built-up : 11,000 sq. ft.","RM 9,000,000",Posted on 10 Jan 2023 08:27 PM,Citta Cheng,IQI Realty Sdn Bhd - Desa Sri Hartamas,https://www.iproperty.com.my/property/country-heights-damansara/sale-104445375/,7+1,8,6
"Inspirasi, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,015 sq. ft.  •  Unfurnished","RM 790,000",Posted on 10 Jan 2023 08:07 PM,Jeffrey,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/inspirasi/sale-104470342/,3,2,2
"East Parc @ Manjalara, Bandar Menjalara","Bandar Menjalara, Kuala Lumpur",Serviced Residence | Corner lot  •  Built-up : 711 sq. ft.  •  Partly furnished,"RM 530,000",Posted on 10 Jan 2023 08:07 PM,Felix Lee,Sinland Real Estate,https://www.iproperty.com.my/property/bandar-menjalara/east-parc-manjalara/sale-104198370/,2,2,2
"Twy Duplex Condos, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 1,374 sq. ft.  •  Fully furnished","RM 1,250,000",Posted on 10 Jan 2023 08:06 PM,Jeffrey,Big Plus Properties Sdn. Bhd. (Mont Kiara),https://www.iproperty.com.my/property/mont-kiara/twy-duplex-condos/sale-104470338/,2,3,2
"Zenia, Zenia Parkhome, Desa Parkcity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House | Corner lot  •  Built-up : 3,079 sq. ft.  •  Partly furnished","RM 3,980,000",Posted on 10 Jan 2023 07:46 PM,Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-102508440/,3+1,4,
"Levenue Desa ParkCity, Desa ParkCity","Desa ParkCity, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 3,000 sq. ft.","RM 2,880,000",Posted on 10 Jan 2023 07:46 PM,Priscillia Ku,Cornerstone Xstate Sdn Bhd,https://www.iproperty.com.my/property/desa-park-city/sale-104186265/,5+1,6,3
"The Ritz-Carlton Residences, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 2,960 sq. ft.  •  Partly furnished","RM 8,580,000",Posted on 10 Jan 2023 07:32 PM,Jeffrey Ng,Dutama Properties,https://www.iproperty.com.my/property/klcc/the-ritz-carlton-residences/sale-103397890/,4+1,5,4
Taman Tun Dr Ismail,"Taman Tun Dr Ismail, Kuala Lumpur","Bungalow  •  Built-up : 5,214 sq. ft.","RM 5,500,000",Posted on 10 Jan 2023 07:31 PM,Priscilla Wong,Asian Land Realty Sdn. Bhd. (MK),https://www.iproperty.com.my/property/taman-tun-dr-ismail/sale-103965009/,6+2,5,4
"Vortex, KLCC","KLCC, Kuala Lumpur",Serviced Residence  •  Built-up : 777 sq. ft.  •  Fully furnished,"RM 700,000",Posted on 10 Jan 2023 07:29 PM,Sean Liew,The Roof Realty - Puchong,https://www.iproperty.com.my/property/klcc/vortex/sale-101223828/,2+1,2,
"Skyluxe On The Park Bukit Jalil, Bukit Jalil","Bukit Jalil, Kuala Lumpur","Serviced Residence  •  Built-up : 1,087 sq. ft.","RM 845,000",Posted on 10 Jan 2023 07:26 PM,Jo Tan,Maxxan Realty - HQ,https://www.iproperty.com.my/property/bukit-jalil/skyluxe-on-the-park-bukit-jalil/sale-101257600/,3+1,2,2
"28 Mont Kiara @ MK28, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium  •  Built-up : 2,535 sq. ft.","RM 2,000,000",Posted on 10 Jan 2023 07:25 PM,Cindy Ng,STARLIGHT PROPERTY SDN BHD,https://www.iproperty.com.my/property/mont-kiara/28-mont-kiara-mk-28/ol-sale-104164903/,3+1,4,3
"The Address, Taman Desa","Taman Desa, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 2,319 sq. ft.  •  Partly furnished","RM 1,418,000",Posted on 10 Jan 2023 07:22 PM,Kenton Khor,GATHER PROPERTIES SDN BHD,https://www.iproperty.com.my/property/taman-desa/the-address/sale-104267723/,4+1,4,4
"Sunway Montana Setapak Taman Melawati Ampang , Taman Melawati","Taman Melawati, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 3,674 sq. ft.  •  Unfurnished","RM 1,800,000",Posted on 10 Jan 2023 07:13 PM,Stephanie Khoo,Vivahomes Realty - Subang Jaya,https://www.iproperty.com.my/property/taman-melawati/sale-102231701/,4+1,5,3
"Sunway Montana Taman Melawati, Taman Melawati","Taman Melawati, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 2,350 sq. ft.  •  Partly furnished","RM 1,550,000",Posted on 10 Jan 2023 07:12 PM,Jo Tan,Maxxan Realty - HQ,https://www.iproperty.com.my/property/taman-melawati/sale-101257637/,3+1,4,3
"Sunway Montana Taman Melawati, Taman Melawati","Taman Melawati, Kuala Lumpur","2-sty Terrace/Link House  •  Built-up : 2,700 sq. ft.  •  Partly furnished","RM 1,480,000",Posted on 10 Jan 2023 07:12 PM,Jo Tan,Maxxan Realty - HQ,https://www.iproperty.com.my/property/taman-melawati/sale-101257575/,3+1,4,3
"Sunway Montana Taman Melawati, Taman Melawati","Taman Melawati, Kuala Lumpur","3-sty Terrace/Link House | Intermediate  •  Built-up : 3,600 sq. ft.  •  Unfurnished","RM 1,750,000",Posted on 10 Jan 2023 07:08 PM,Jo Tan,Maxxan Realty - HQ,https://www.iproperty.com.my/property/taman-melawati/sale-101257559/,4+1,6,4
"16 Quartz, Courtyard Villa, Taman Melawati","Taman Melawati, Kuala Lumpur","3-sty Terrace/Link House  •  Built-up : 3,480 sq. ft.  •  Partly furnished","RM 1,600,000",Posted on 10 Jan 2023 07:08 PM,Stephanie Khoo,Vivahomes Realty - Subang Jaya,https://www.iproperty.com.my/property/taman-melawati/sale-100746029/,4+1,6,
"TRX Residence @ TRX, KL City","KL City, Kuala Lumpur","Serviced Residence  •  Built-up : 1,345 sq. ft.  •  Partly furnished","RM 3,206,000",Posted on 10 Jan 2023 07:08 PM,Sun Teoh,Dutama Properties,https://www.iproperty.com.my/property/kl-city/trx-residence-trx/sale-103658985/,3+1,2,1
"TRX Residence @ TRX, KL City","KL City, Kuala Lumpur",Serviced Residence  •  Built-up : 850 sq. ft.  •  Partly furnished,"RM 1,506,000",Posted on 10 Jan 2023 07:08 PM,Sun Teoh,Dutama Properties,https://www.iproperty.com.my/property/kl-city/trx-residence-trx/sale-103659046/,2+1,2,1
"The Binjai on the Park, KL City Centre, KLCC","KLCC, Kuala Lumpur","Condominium  •  Built-up : 3,218 sq. ft.  •  Fully furnished","RM 7,999,000",Posted on 10 Jan 2023 07:07 PM,Sun Teoh,Dutama Properties,https://www.iproperty.com.my/property/klcc/the-binjai-on-the-park/ol-sale-104502581/,3+1,4,2
"ADJOIN CORNER BIG LOT, Kepong Baru, Taman Kepong, Kepong","Kepong, Kuala Lumpur","1-sty Terrace/Link House  •  Built-up : 2,250 sq. ft.","RM 1,199,888",Posted on 10 Jan 2023 06:58 PM,Vincent Tan,E Trend Realty Sdn Bhd,https://www.iproperty.com.my/property/kepong/sale-104445061/,4,2,4
"2 Hampshire, Hampshire Park, KLCC","KLCC, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 3,316 sq. ft.  •  Fully furnished","RM 2,100,000",Posted on 10 Jan 2023 06:56 PM,Sue,Propnex Realty Sdn. Bhd. - KL,https://www.iproperty.com.my/property/klcc/2-hampshire/sale-104369748/,3+1,5,3
"Kiaraville, Mont Kiara","Mont Kiara, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 1,600 sq. ft.  •  Fully furnished","RM 1,100,000",Posted on 10 Jan 2023 06:50 PM,Jordan Tang,Meridin Properties,https://www.iproperty.com.my/property/mont-kiara/kiaraville/sale-103841179/,3+1,3,2
"Nobleton Crest, Taman U-Thant, Ampang Hilir","Ampang Hilir, Kuala Lumpur","Condominium | Penthouse  •  Built-up : 6,383 sq. ft.  •  Fully furnished","RM 9,000,000",Posted on 10 Jan 2023 06:42 PM,Jonathan Lai,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/ampang-hilir/nobleton-crest/sale-104502487/,4+1,5,4
"St Regis, KL Sentral","KL Sentral, Kuala Lumpur","Serviced Residence | Penthouse  •  Built-up : 4,253 sq. ft.  •  Partly furnished","RM 8,450,000",Posted on 10 Jan 2023 06:41 PM,Jonathan Lai,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/kl-sentral/st-regis/sale-102514590/,3+1,4,2
"Armada Villa, Taman Desa","Taman Desa, Kuala Lumpur","Semi-detached House  •  Built-up : 4,116 sq. ft.  •  Partly furnished","RM 4,080,000",Posted on 10 Jan 2023 06:40 PM,Marcus Liew,Simon Realty,https://www.iproperty.com.my/property/taman-desa/sale-101926856/,5,6,3
"St Regis, KL Sentral","KL Sentral, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 2,408 sq. ft.  •  Fully furnished","RM 5,200,000",Posted on 10 Jan 2023 06:39 PM,Jonathan Lai,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/kl-sentral/st-regis/sale-102967666/,2+1,4,2
"St Regis, KL Sentral","KL Sentral, Kuala Lumpur","Serviced Residence | Corner lot  •  Built-up : 2,408 sq. ft.  •  Partly furnished","RM 4,700,000",Posted on 10 Jan 2023 06:37 PM,Jonathan Lai,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/kl-sentral/st-regis/sale-102527183/,2+1,4,2
"Aira Residence, Damansara Heights","Damansara Heights, Kuala Lumpur","Condominium | Corner lot  •  Built-up : 4,489 sq. ft.  •  Partly furnished","RM 8,000,000",Posted on 10 Jan 2023 06:36 PM,Jonathan Lai,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/damansara-heights/aira-residence/sale-102558951/,4+1,5,3
"Taman Kok Doh, Jinjang, Kepong, Jalan Kuching","Jalan Kuching, Kuala Lumpur","1-sty Terrace/Link House | Intermediate  •  Built-up : 2,400 sq. ft.  •  Partly furnished","RM 779,000",Posted on 10 Jan 2023 06:36 PM,Kenny Tay,Big Plus Properties Sdn. Bhd. - Kepong,https://www.iproperty.com.my/property/jalan-kuching/sale-104470002/,4,3,2
"St Regis, KL Sentral","KL Sentral, Kuala Lumpur","Serviced Residence  •  Built-up : 1,648 sq. ft.  •  Partly furnished","RM 3,300,000",Posted on 10 Jan 2023 06:35 PM,Jonathan Lai,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/kl-sentral/st-regis/sale-102527131/,1,2,1
"St Regis, KL Sentral","KL Sentral, Kuala Lumpur",Serviced Residence  •  Built-up : 820 sq. ft.  •  Partly furnished,"RM 1,700,000",Posted on 10 Jan 2023 06:32 PM,Jonathan Lai,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/kl-sentral/st-regis/sale-102527361/,1,1,1
"The Ritz-Carlton Residences, KLCC","KLCC, Kuala Lumpur","Serviced Residence | Penthouse  •  Built-up : 2,960 sq. ft.  •  Partly furnished","RM 8,580,000",Posted on 10 Jan 2023 06:31 PM,Jonathan Lai,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/the-ritz-carlton-residences/sale-104272762/,4+1,6,4
"The Ritz-Carlton Residences, KLCC","KLCC, Kuala Lumpur","Serviced Residence  •  Built-up : 1,938 sq. ft.  •  Partly furnished","RM 5,000,000",Posted on 10 Jan 2023 06:30 PM,Jonathan Lai,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/the-ritz-carlton-residences/sale-103610782/,2+1,3,2
"The Ritz-Carlton Residences, KLCC","KLCC, Kuala Lumpur","Serviced Residence  •  Built-up : 2,142 sq. ft.  •  Partly furnished","RM 5,200,000",Posted on 10 Jan 2023 06:29 PM,Jonathan Lai,CBD Properties Sdn. Bhd.,https://www.iproperty.com.my/property/klcc/the-ritz-carlton-residences/sale-103610754/,3+1,5,3
